 action__cancel                                         | de | translator_01 | Abbrechen
 opml_import__no_feeds_found                            | de | translator_05 | Keine Feeds zum importieren gefunden
 opml_import__no_feeds_found                            | de | translator_05 | Keine importierbaren Feeds gefunden
 opml_import__no_feeds_found                            | es | translator_01 | No se encontraron fuentes para importar
 opml_import__no_feeds_found                            | uk | translator_02 | Не знайдено жодного каналу для імпорту
 opml_import                                            | uk | translator_02 | Імпортувати канали
 opml_import__unsupported_file_type                     | de | translator_01 | Nicht unterstützter Dateityp
 opml_import__unsupported_file_type                     | es | translator_01 | Tipo de archivo no soportado
 opml_import__unsupported_file_type                     | uk | translator_02 | Тип файлу не підтримується
 settings                                               | de | translator_01 | Einstellungen
 settings__default_entries_limit                        | de | translator_01 | Standardlimit für Einträge
 settings__default_entries_limit                        | es | translator_01 | Límite de entradas por defecto
 settings__default_entries_limit__summary               | de | translator_01 | Bis zu %1$d Einträge pro Feed behalten
 settings__default_entries_limit__summary               | es | translator_01 | Seguir hasta %1$d entradas por fuente
 settings__default_entries_limit__summary               | uk | translator_02 | Зберігати до %1$d записів на канал
 settings__default_entries_limit                        | uk | translator_02 | Межа записів за замовчуванням
 settings__entry_viewer                                 | de | translator_05 | Integrierte Vorschau
 settings__entry_viewer                                 | es | translator_03 | Visor de entradas embebido
 settings__entry_viewer__javascript                     | de | translator_01 | JavaScript
 settings__entry_viewer__javascript                     | es | translator_01 | JavaScript
 settings__entry_viewer__javascript__summary            | de | translator_05 | Ausführung von JavaScript in integrierter Vorschau erlauben
 settings__entry_viewer__javascript__summary            | es | translator_03 | Permitir la ejecución de JavaScript en el visor de entradas embebido
 settings__entry_viewer__javascript__summary            | uk | translator_02 | Дозволити запуск JavaScript у вбудованому перегляді запису
 settings__entry_viewer__javascript                     | uk | translator_02 | JavaScript
 settings__entry_viewer                                 | uk | translator_02 | Вбудований переглядач записів
 settings__entry_viewer__volume_navigation              | de | translator_05 | Lautstärkebuttons
 settings__entry_viewer__volume_navigation              | de | translator_05 | Lautstärkeknöpfe
 settings__entry_viewer__volume_navigation              | es | translator_03 | Botones de volumen
 settings__entry_viewer__volume_navigation__summary_off | de | translator_01 | Deaktiviert
 settings__entry_viewer__volume_navigation__summary_off | es | translator_03 | Desactivado
 settings__entry_viewer__volume_navigation__summary_off | uk | translator_02 | Вимкнено
 settings__entry_viewer__volume_navigation__summary_on  | de | translator_05 | Zwischen Einträgen navigieren
 settings__entry_viewer__volume_navigation__summary_on  | es | translator_03 | Navegar entre las entradas
 settings__entry_viewer__volume_navigation__summary_on  | uk | translator_02 | Навігація між записами
 settings__entry_viewer__volume_navigation              | uk | translator_02 | Кнопки гучності
 settings                                               | es | translator_01 | Configuración
 settings__feeds                                        | de | translator_01 | Feeds
 settings__feeds                                        | es | translator_03 | Fuentes
 settings__feeds__export                                | de | translator_01 | Feeds exportieren
 settings__feeds__export                                | es | translator_03 | Exportar fuentes
 settings__feeds__export__summary                       | de | translator_05 | Feeds in OPML Datei exportieren
 settings__feeds__export__summary                       | es | translator_03 | Exportar fuentes a un archivo OPML
 settings__feeds__export__summary                       | uk | translator_02 | Експортувати канали до OPML-файлу
 settings__feeds__export                                | uk | translator_02 | Експортувати канали
 settings__feeds__import                                | de | translator_01 | Importieren
 settings__feeds__import                                | de | translator_05 | Import
 settings__feeds__import                                | es | translator_03 | Importar
 settings__feeds__import__summary                       | de | translator_05 | Feeds aus OPML Datei importieren
 settings__feeds__import__summary                       | uk | translator_02 | Імпортувати канали з OPML-файлу
 settings__feeds__import                                | uk | translator_02 | Імпортування
 settings__feeds                                        | uk | translator_02 | Канали
 settings__notifications                                | de | translator_05 | Benachrichtigungen
 settings__notifications                                | es | translator_03 | Notificaciones
 settings__notifications__new_entries_only              | de | translator_01 | Nur neue, ungelesene Einträge
 settings__notifications__new_entries_only              | es | translator_03 | Sólo entradas nuevas sin leer
 settings__notifications__new_entries_only__summary_off | de | translator_05 | Über alte, ungelesene Einträge ebenfalls benachrichtigen
 settings__notifications__new_entries_only__summary_off | es | translator_03 | Notifícame también sobre entradas antiguas no leídas
 settings__notifications__new_entries_only__summary_off | uk | translator_02 | Нагадувати також про старі непрочитані записи
 settings__notifications__new_entries_only__summary_on  | de | translator_01 | Nur über neue, ungelesene Einträge benachrichtigen
 settings__notifications__new_entries_only__summary_on  | es | translator_03 | Notifícame sólo sobre nuevas entradas sin leer
 settings__notifications__new_entries_only__summary_on  | uk | translator_02 | Нагадувати лише про нові непрочитані записи
 settings__notifications__new_entries_only              | uk | translator_02 | Лише нові непрочитані записи
 settings__notifications__ringtone__default             | de | translator_01 | Standard
 settings__notifications__ringtone__default             | es | translator_01 | Predeterminado
 settings__notifications__ringtone__default             | uk | translator_02 | усталений
 settings__notifications__ringtone                      | de | translator_01 | Klingelton
 settings__notifications__ringtone                      | es | translator_03 | Sonido de notificación
 settings__notifications__ringtone__none                | de | translator_01 | Keinen
 settings__notifications__ringtone__none                | es | translator_01 | Ninguno
 settings__notifications__ringtone__none                | uk | translator_02 | Немає
 settings__notifications__ringtone                      | uk | translator_02 | Мелодія
 settings__notifications                                | uk | translator_02 | Нагадування
 settings__notifications__unread_entries                | de | translator_01 | Ungelesene Einträge
 settings__notifications__unread_entries                | es | translator_03 | Entradas no leídas
 settings__notifications__unread_entries__summary_off   | de | translator_01 | Deaktiviert
 settings__notifications__unread_entries__summary_off   | es | translator_01 | Desactivado
 settings__notifications__unread_entries__summary_off   | uk | translator_02 | Вимкнено
 settings__notifications__unread_entries__summary_on    | de | translator_05 | Über ungelesene Einträge benachrichtigen
 settings__notifications__unread_entries__summary_on    | es | translator_03 | Notifícame sobre entradas sin leer
 settings__notifications__unread_entries__summary_on    | uk | translator_02 | Нагадувати мені про непрочитані записи
 settings__notifications__unread_entries                | uk | translator_02 | Непрочитані записи
 settings__notifications__vibrate                       | de | translator_01 | Vibrieren
 settings__notifications__vibrate                       | es | translator_03 | Vibrar
 settings__notifications__vibrate__summary_off          | de | translator_04 | Bei neuen Benachrichtigungen nicht vibrieren
 settings__notifications__vibrate__summary_off          | de | translator_05 | Nicht bei neuen Benachrichtigungen vibrieren
 settings__notifications__vibrate__summary_off          | es | translator_03 | No vibrar cuando haya nuevas notificaciones
 settings__notifications__vibrate__summary_off          | uk | translator_02 | Не вібрувати через нові нагадування
 settings__notifications__vibrate__summary_on           | de | translator_01 | Bei neuen Benachrichtigungen vibrieren
 settings__notifications__vibrate__summary_on           | es | translator_03 | Vibrar cuando haya nuevas notificaciones
 settings__notifications__vibrate__summary_on           | uk | translator_02 | Вібрувати через нові нагадування
 settings__notifications__vibrate                       | uk | translator_02 | Вібрувати
 settings__preferred_browser                            | de | translator_05 | Einträge öffnen mit...
 settings__preferred_browser__default                   | de | translator_01 | Standardbrowser
 settings__preferred_browser__default                   | es | translator_03 | Navegador predeterminado
 settings__preferred_browser__default                   | uk | translator_02 | Усталений браузер
 settings__preferred_browser                            | es | translator_03 | Abrir los enlaces de las entradas con...
 settings__preferred_browser                            | uk | translator_02 | Відкрити посилання запису з…
 settings__support__contact                             | de | translator_01 | Kontakt
 settings__support__contact                             | es | translator_01 | Contacto
 settings__support__contact__summary                    | de | translator_05 | E-Mail an den Entwickler
 settings__support__contact__summary                    | es | translator_03 | E-mail al desarrollador
 settings__support__contact__summary                    | uk | translator_02 | Надіслати електронного листа розробникові
 settings__support__contact                             | uk | translator_02 | Контакт
 settings__support                                      | de | translator_01 | Support
 settings__support__donate                              | de | translator_01 | Spenden
 settings__support__donate                              | es | translator_01 | Donar
 settings__support__donate__summary                     | de | translator_01 | Zeigen Sie, wie sehr Sie die App mögen
 settings__support__donate__summary                     | es | translator_03 | Demuestra cuánto te gusta esta aplicación
 settings__support__donate__summary                     | uk | translator_02 | Вкажіть, наскільки Вам до вподоби цей застосунок
 settings__support__donate                              | uk | translator_02 | Скинутися
 settings__support                                      | es | translator_03 | Soporte
 settings__support                                      | uk | translator_02 | Підтримка
 settings__theme__dark                                  | de | translator_01 | Dunkel
 settings__theme__dark                                  | es | translator_03 | Oscuro
 settings__theme__dark                                  | uk | translator_02 | Темний
 settings__theme                                        | de | translator_05 | Aussehen
 settings__theme                                        | es | translator_03 | Tema
 settings__theme__light                                 | de | translator_01 | Hell
 settings__theme__light                                 | es | translator_03 | Claro
 settings__theme__light                                 | uk | translator_02 | Світлий
 settings__theme                                        | uk | translator_02 | Тема
 settings                                               | uk | translator_02 | Налаштування
 sharing__share_via                                     | de | translator_05 | Teilen über
 sharing__share_via                                     | es | translator_03 | Compartir vía
 sharing__share_via                                     | uk | translator_02 | Поширити через
 url_handler__cannot_open_connection                    | de | translator_01 | Konnte keine Verbindung herstellen
 url_handler__cannot_open_connection                    | es | translator_03 | No se ha podido conectar
 url_handler__cannot_open_connection                    | uk | translator_02 | Неможливо встановити з’єднання
 url_handler__invalid_url                               | de | translator_01 | Ungültige URL
 url_handler__invalid_url                               | es | translator_03 | URL inválida
 url_handler__invalid_url                               | uk | translator_02 | Недійсний URL
 url_handler__timeout                                   | de | translator_01 | Zeitüberschreitung
 url_handler__timeout                                   | es | translator_03 | Tiempo agotado
 url_handler__timeout                                   | uk | translator_02 | Час вийшов
 url_handler__unknown_host                              | de | translator_04 | Unbekannter Host
 url_handler__unknown_host                              | es | translator_03 | Host desconocido
 url_handler__unknown_host                              | uk | translator_02 | Невідомий хост
 url_handler__unsupported_encoding                      | de | translator_01 | Nicht unterstützte Kodierung: %1$s
 url_handler__unsupported_encoding                      | es | translator_03 | Codificación no soportada: %1$s
 url_handler__unsupported_encoding                      | uk | translator_02 | Не підтримується кодування: %1$s
 url_handler__unsupported_url                           | de | translator_01 | Keine Applikation gefunden für: %1$s
 url_handler__unsupported_url                           | es | translator_03 | No se ha encontrado una aplicación para: %1$s
 url_handler__unsupported_url                           | uk | translator_02 | Не знайдено застосунку для: %1$s
 url_handler__untrusted                                 | de | translator_01 | Sicherheitsproblem mit dem Server: %1$s
 url_handler__untrusted                                 | es | translator_03 | Hay un problema de seguridad con este servidor: %1$s
 url_handler__untrusted                                 | uk | translator_02 | Проблеми безпеки з сервером: %1$s
